clean_content,sentimen
cancel driver mulu ga satttttt,negatif
kerenn,positif
good,positif
aplikasi andal,positif
gojek lagieeh drivernya brengsekkklancang tol e toll sayakarena tolak pesan batal yg kerja knp tuntut modal bayar e tollgojek drivermu malas ya hobi cancel order orang udah miskin malas komplit sekalilucu ken kerja santai cepat customer suruh paksa pake e tol pribadisemoga kere tu driver,negatif
bantu pagi kerja,positif
bantu,positif
ok,positif
buat opsi batal pesan,negatif
makasih kali banyakin promo nya,positif
kepencett belanja belanja aneeeh,negatif
muas order batal,negatif
mantap,positif
ongkir gofood nya mahal banget kayak ngasih makan drivernya deket,negatif
udah gak ngetik review gofood discroll ngestuck kolom review ngasih bintang udah diuninstall sampe kali gak ubah,negatif
min go transit adain fitri offline makasih,positif
jalan mudah,positif
keren,positif
murcewww tdk pernahh telat andal bangett apk gojek iniii,positif
gojek nya ga jemput batalin aja pliss kelas gojek ga pilih aman opang,negatif
ribet kontl pake verifikasi wajah fitur gaada nambah in ribet nama orang mesen online ya ngincer ga ribet ni ribet,negatif
bagus,positif
oke bangat,positif
bagus,positif
butuh pergi pilih utama kasih fitur gopay pinjam kasih karna ga rekomen pinjam gopay telat hari nagihnya kaya udh telat berharihari langsung tlp no darurat ya salah telat bayar alas sengaja ga bayar tolong sedia pinjam atur,negatif
bagus,positif
guna,positif
matoel,positif
ok,positif
top dah,positif
loginnya ribetdisuruh tunggu jam pas udh jamehh ga buka aplikasi alas gara gara security reasons apa salah nihh no wa udah benergmail udh benertapi gak logindi aja udh giniapalagi pas pake aplikasinyadisanalah putus uninstall,negatif
skrg driver nya males pdhl sen udh sesuai kdg lebihin skrg sen bgt dpt driver nya,negatif
jalan mudah,positif
driver nya jemput keluarga rumah kaya d i rumah tks,positif
bantu banget mobilisasi kalo pas ga bawa kendara pribadi mantap,positif
srg promo yaaa,positif
ok,positif
bagus,positif
cepat royal,positif
kemudi nya,positif
propesional tangan pelanggandan ramah,positif
member motor parkir toko suruh rapi biar menggangu yg marah marah adab ny ojol yg ramah,negatif
harap driver gojek gak kepala mentang dukung org biar oknum uras uang tumpang manfaat tenar intimidasi tumpang tip uang salah sistem double order gk uang developer atas sistem salah double order kesan developer adu domba tumpang driver saran dev tolong sistem rekrut driver,negatif
bagus,positif
mahallll ajar,negatif
gojek partner jalan,positif
karya anak bangsa,positif
sesuai mantab,positif
mantappp,positif
josjiss,positif
ok,positif
ok,positif
mantap,positif
oke banget,positif
kesini parah apk nya,negatif
top deh,positif
ok mudah,positif
layan mantap,positif
harga pakai,positif
ok,positif
ok,positif
promo bnakin,positif
masak saldo potong si orang kalo transaksi masukin sandi otomatis potong guna sandi aman skip untung gw kendara gamau pake gojek aplikasi,negatif
muas,positif
suka error driver gak gerak dah ga pusat bantu cs,negatif
kasih driver yg lokasi mohon tingkat ya depan,positif
mantap,positif
good,positif
mantaap,positif
bagus driver nya ramah ramah,positif
sopir malas banding grab indrivermalah cancel sepihakdi ganri tarif prioritassungguh aplikasi nya gak bijak,negatif
maaf lupa,positif
bantu umkm,positif
mantap,positif
sy gak masuk akun selfi gagal ikut pandu,positif
driver gocar respon minimal gk ambil bantu d cancel cancel akun blokir gojek edukasi kek driver gocarnya,negatif
bagus,positif
cepepat bagus motor,positif
aplikasi bodohh nyari driver udh pepet yg dekat gamau prosesssss,negatif
aplikasi kentutwaktu dibutuhin bgt nyari driversampe jam nyari driverdah keburu telat duluangiliran gak dibutuhin ngirim notifikasi mulu,negatif
gocar daerah sumenep gak,negatif
jelek layan,negatif
cepat,positif
posisi si driver costumer terima orang butuh cepat pergi kantor telat gaji potong,negatif
bantu,positif
suka layan,positif
mmbantu kl males,positif
mantabnn,positif
aplikasi bantu,negatif
ngebantu bgt aplikasi gojek tdk susah cari transportasi kendara,positif
sikap ramah driver,positif
alhamdulilah pakai jasa puas makasih ya gosend bantu kerja saran sayautk gofood tolong biaya antar biaya yg timbul aplikasi kecil karna biaya mahal tolong perhati,positif
knapa pin bikin,positif
kesel banget motor abang udah butut udah bayar mahal eh motor butut kaki gel mending busway aja enak murah ga gel,negatif
keren,positif
mudah orang,positif
x ngajuin gopay later tolak,negatif
buruk bgt pas pesan makan driver nya susah didpat gk bgt kerja,negatif
mantul pokonamah,positif
tolong kalo order gofood tambah fitur cancel pesan jam nungguin gk pasti,negatif
mantap,positif
bantu aplikasi,positif
cs nggak bantu udh lapor salah order ttp,negatif
bgus,positif
fitur chat resto langsung dibukajangan nunggu resto openjadi kadang customer dicancel komunikasi resto,netral
aplikasi bagus pesan pesan driver pesan makan,positif
cepet,positif
bintalah yg bicara ok,positif
ya gojek medan hujan gerimis deras susah cari driver kirakira baik fitur driver khusus terima order musim hujan jadi terus hujan pakai layan gojek,netral
bagus,positif
payah cari driver medan kota,negatif
pesan makan jam gak nyampe,negatif
bagus,positif
ngasih harga ongkir bener aja om resto kost sayaga sampe km hitung ribuga ngotak banget,negatif
ngebug gabisa dipake qrisnya,negatif
hujan susah nyri driver mesan makan sulit selak lapar orang,netral
aplikasi gofood pilih batal pesan cs sllusi aapapun chat balas template bahaya handphone pegang anak yg ga sengaja pencet pesan,negatif
aplikasi bbi pesan gofood jarak km udah nunggu jam dibatalin kntol,negatif
ribet bgt loginnya gatau org laper sulit,negatif
good,positif
bantu,positif
mantap,positif
mending layan gocar xl baik dah mesen gocar xl orang driver nya ampe suruh tolak mobil gara gara gak orang xl kapasitas nya orang gak orang gimana si mending gak diadin gocar xl gitu,negatif
mudah aplikasi moga cepat limit pinjam,positif
ok,positif
sopir gojek belagu nggak nerima confirm,negatif
mantap,positif
beli gofood terkadang tunggu gk driver cancel bikin kadang pesan gofood buang,negatif
oke,positif
apk lot,negatif
oke pokona,positif
ga jeda batal mesan,negatif
bagus cepat cermat,positif
mantap,positif
bagus nyaman,positif
cepat kurir ramah,positif
senang pakai gojek,positif
good driver,positif
tolong fitur lacak driver baik suka lambat loading driver gera kasihan orang buruburu lihat gojek jalan,netral
sebel banget sen gocar susah pasang harga murah ga jalan,negatif
gomart ribet belanja toko ga nyari toko nyari barang melulu ga pilih toko ga pilih barang ribet tau ga sih,netral
ga jelaspesanan banget cancel sm drivernyapadahal sllu tip kali makan antar sy alih layan grab,netral
proses cepatpengiriman cepat,positif
cepat murah,positif
bantu,positif
hemat,positif
jos jiss,positif
bantu,positif
dgn gojek bantu,positif
wajib bintang sih bantu aplikasi gojek,positif
aplikasi bagus,positif
bantu bgt,positif
aplikasi jelek kecewa,negatif
bantu,positif
neng bantu cepat,positif
very good apk,positif
josss,positif
bestskhdudkdiddddjjdjdkdkdd,positif
pokok mantap,positif
is the best,positif
nice,positif
gesit,positif
susah,negatif
bagus banget ramah banget,positif
mudah urus,positif
mudah,positif
fgu,positif
ok mantap,positif
butuh,positif
sanggat bantu,positif
layan lumayan tolong baik gobox order jadwal h cek esok pagi nya order yg order order driver nya,netral
bantu,positif
pake go pinjam tagih tgl septembertgl september chat akun gojek kasar ngatain binatangserius gojek laku kek gin ga kupake aplikasi,negatif
nice,positif
lelet banget,negatif
sen gocar bgt gadapet dapet pake yg prioritas sekali dapet drivernya nyasar banget set jam nungguin dichat gak dibales telpon gabisa heran deh,negatif
enak makan nya,positif
okmakin asyik ajja pake go jek,positif
awas gojek,negatif
good,positif
aplikasi baik,positif
cepat,positif
bagus,positif
mudah pergi,positif
jelek bug,negatif
maaf uinstal kesini nyaman diskon potong harga bayar pakai gopay eh turun mintak uang mintak bayar penuh kesini ngaco gak bayar penuh drivernya marah yg gak faham drivernya yg gak paham apk,negatif
gojek balikin duid gw hati hati pesan gofood makan nya antar chat cs lepas tanggung,negatif
gofood makan rb biaya tangan rb bener aja beli potong ayam bayar rb mending jalan gw kocak,negatif
bantu transportasi beli makan,positif
peta error tdk sesuai order fitur downpayment aktif spy cicil ringan fitur gopay letter,negatif
manfaat,positif
tunggu jam cancel gofood,negatif
mempeemudah jalan,positif
nice app and very helping,positif
ok,positif
driver nya cari alamat cepet gojek bantu,positif
mantap,positif
bantu transportasi,positif
kerendan bantu terimakasih gojek,positif
baik transportasi,positif
ok,positif
bagus bantu,positif
ramah,positif
mantap,positif
mantappp promonya,positif
sukses,positif
drivernya nipu,negatif
mantap,positif
jemput knp suruh stel parah aplikasi,negatif
mahal banget biaya tangan mahal biaya tangan gofoodnya,negatif
bagus beli makan mls gofood solusi,positif
ok,positif
merianto,positif
mantap aplikasi nyaa cuman klau jarak harga nya suka mahal,positif
muas layan,negatif
nya gojek sngat sngat ngebantu mudah jalan pon,positif
mantap,positif
gopay periyum,negatif
sorry turunin bintang udah kali order gocar susah dapet driver kaya x ganti driver ujung yg cancel semu driver ga alas maen cancel order sekali respon lupa matiin aplikasi udah tahap kecewa berat sih posisi anak ranap gimana ga kesel,negatif
beli simple bgtt,positif
makasih bnyak,positif
mantap banyak promo go food ya,positif
good,positif
baikslamat tuju aamiin,positif
mudah dapat drivernya,positif
sdh nggak kuat pake gofood harga makan rb ongkir rb nggak tambah biaya aplikasi asa rampok parah,negatif
senang pake aplikasi gojek,positif
sdm nya percaya aman,positif
terima kasih,positif
makasih tept n drivernya ramah,positif
pesan gocar hemat driver otomatis ubah gocar prioritas ongkos mahal rp rp alami kali rugi kecewa mohon gojek baik sistem tipu langgan,negatif
haduh udah instal gak gojek kecewa,netral
bagus,positif
man to the tap mantappp,positif
gokil,positif
mudah belanja tanoa kluar rumah,positif
ngebantu banget sen makan,positif
memudahhkan mana,positif
babang gojek,positif
layan fasilitas komplain tisak bagus jelimet,negatif
keren gratis transaksi,positif
good,positif
mantap,positif
kecewa banget gojek jalan kali narik uang kali harga ngk main sampe ribu udah lapor suruh nunggu gojek respon udah mending pakai apk,negatif
saldo gopay blokir,negatif
mantap,positif
gojek j nya jaya,positif
bayar cicil ga telat ga pinjem hadeeeh,negatif
very usefull,positif
keren kasih gaji yg driver nya korupsi,positif
ok makasiih,positif
moga manfaat,positif
mesan ter praktis deh poko nya,positif
bantu jasa,positif
bagus bantu,positif
mantap,positif
nyaman,positif
mudah jalan,positif
good,positif
gopaylater kak,positif
aplikasi eror pesan driver gocar kali masuk driver kali kali telfon mes kali kali,netral
aplikasi oke,positif
good bymaaf pergisemua karena,netral
bintang bnykin ldi diskon,positif
gk batalin beli makan telat sulit dapet driver,negatif
banyakin promonya,positif
pilih tenor adakenapa tolong pilih tenor,negatif
bgus,positif
naek ojek lumayan irit mesan makan langit babi,negatif
keren,positif
manfaat,positif
ramah,positif
lwmot,negatif
gojek bangkrut,negatif
go food nya jelek pas makan sampe driver nggak nunggu hitung kali pesan resto nya pas udah sampe udah nggak chat resto chat driver driver nya nggak nunggu,negatif
gopaylaternya tlat beneran denda rb gaji kadang tlat untung paylater manusiawi emang gak kayak spaylater limit bayar tgl,positif
gimna nya ambil saldo tpi aplikasi gopay gak instal ya,netral
goridenya grecep banget msh menit batas kirim good job,positif
kasih promo,positif
ya gojek ko kesini mahal pdhl alamat gak yg tuju,negatif
bagus promonya makasih,positif
fleksibel,positif
fitur salah klik batal pesan,negatif
har sh oke oke,positif
kecewa layan adu cuap cuap robot kait lapor gojek kemudi tinggal trip barang barang bawa pergi driver adu fihak gojek aplikasi kantor dsu gojek sumarecon bekas layan kecewa banget,negatif
mapsnya ditingkatin kualitas enak guna,negatif
nyaman go ride,positif
alhamdulillah kota ku sdh gojek bantu tp do lg,positif
suka,positif
oke,positif
good job my aplikasi ojol,positif
bagus,positif
drivernya bayar g sesuai aplikasi,netral
bagus terimakasih,positif
tuju,positif
aplikasi nya bantu tahun pake bantu promo uang god job gojek indonesia moga jaya,positif
aplikasi jebak bayar cash sulit isi saldo gopay jadi bayar utama arah cash teliti pake aplikasi,negatif
lambat bayar blockir penaltynya bayar gopay blokir ya otomatis pakai gojek gua pakai indrive aja grab,negatif
baik mepsnya,positif
kasih bintang ama guegue langgan gojek plusmalah kagak disconttolol ntar gue unistal nih apk,negatif
tolong ya sistem rute map nya dibaikin udah banget drivernya ngasi alas kalo rute nya suka ubah ubah driver nya muter sebab telat pergi kampus udah gitu kadang nemu aja driver gatau jalan nyamperin nyamperin jujur ngebuat kesal oklah kalo ga titik tuju jarak,negatif
cinta gojek,positif
manusia driver,positif
puas layan,positif
kecewa minggu goride hemat hilang pakai gojek jarak tp hilang yg hemat,negatif
driver mobil lagu,negatif
moga smaakin krdepanya thebets,positif
aplikasiii lemoooooooootttt,negatif
algoritma gaje tingkat silvergoldplatinum anyep aja gausah bikim pangkat saldo order babi,negatif
banyak supir supirnya,negatif
kecewa staf yg aplikasi salah top up saldo yg mana e walet sengaja kirim gopaysaya login pasu kode otp via email yg tahunomor hp yg orang yg meregistrasiny apk pergi kantor gojek areaemail csshare bukti selesai,negatif
bantu pergi jalan jalan,positif
tolong gojek fitur konfirmasi mesan opsi tulis tol jalan kasi mitra mu yg debat fitur ubah bintang,netral
murah hemat jamin,positif
aman percaya,positif
siap kontrak sedia menit ditungguin sampe jam gak tuh kontrak nya ngasih estimasi coba sesuai langgar,negatif
yaa klw udh jam an trs sen pake diskon driver cmn terima pesan tpi ga jmpt udh kali sen ga jmpt tolong yaa driver yg kaya gitu mending kasih sanksi layan ga bagus,netral
asuu banget nih ga dapet driver nya acara driver nyaa,negatif
kirim gosen barang d bawa kabur mitra total gak selesai dr gojek sungguh jelak layan ya udah bikin lapor minggu total gak selesai,negatif
bagus,positif
bessstttt bgt,positif
gojek so far bagus tentu titik alamat blm sesuai moga baik tingkat,positif
woi benerin ni apk beres hujan lumpuh total,negatif
kirim,positif
top,positif
yg faks gps biar ga tau it gojek,negatif
love you gojek,positif
bantu terimakasih gojeg,positif
jngn mahal pesan,positif
aneh order gofood bayar pakai gopay nunggu makan nunggu menit tibatiba dibatalin restonya x minggu coba bayar cash aja pakai device tetep resto nya gojek pemberitahuan gojek resto nya order cancel biar ganti resto iya nunggu estimasi habis cancel gitu aja,negatif
gofood muahal bet makan k k bjir x lipat,negatif
aplikasi anj gak buka gojek sen gojek sampe kali gak buka apk gojek gak mesen,negatif
buruk layan nya pesan daerah dr satrio n habis hujan g,negatif
alhamdulillah promo,positif
bagus banget sen makan trus,positif
mahal maxim,negatif
moga bos gojek lepas kezholiman konoha,positif
nunggu jam posisi driver lokasi engga nyangkut nya nyangkut posisi driver nya aneh gatau sistem nya gimana dapet driver,negatif
nih aplikasi ga order dr jam brpa sampe jam gin driver pda ga ambil order aplimatornya jga sadis bayar berpa aplikasi yg driver dpet argonya brpa tolong d benerin lg management nya gojek,negatif
mantaaaaap,positif
susah bnget dpet driver,netral
bantu batal pesan driver gojek hubung gojek langsung sy telpon langsung sesuai prosedur tp batal pesan tolong baik tsb,positif
kereenn maju trus gojek,positif
bagus,positif
mahaltidak promo bolak kerja mahal yg tdnyab mnjadi,negatif
parah sen gojeg jam kaga dapet driver sekaliknp ya,negatif
nih aplikasi ngasih harga ngasal motor aja jarak km doang tarif ga mabok udah gitu udh x dapet driver yg aplikasi tdk becus km doang harga ujannya udh henti nih aplikasi ga takut hilang customer,negatif
banget cari driver lelet skrng kesel bangwtt gua,negatif
sen gofood udah jam gak dateng dateng lol,negatif
driver gamau ambil,negatif
helpfull,positif
puqimak gada deifer,negatif
drivernya belagu gamau jemput jauhjauh jem gw nunggi ga dapetdapet,negatif
bagus,positif
uninstal kecewa sih susah bngt nyari gojek lokasi bngt nongkrong gak yg ambil niat ngojek kerja engga gilir pakai maxim cepet sat set,negatif
susah driver sdh jam tunggu,negatif
klo lgi hujan,negatif
baik,positif
ok,positif
oke,positif
fitur gojek pinjam aju tolak,negatif
sumpah jelek bgt ojol sampe jam gak,negatif
mantap,positif
y bgus mls ngetik tpi emng bagus si mls ngetik lebar,positif
saran klo emg lg jam sibuk pas hujan driver tuh terima aja org urgent smpai menit gda yg terima order,positif
top up blm msuk,positif
oklah,positif
order driver skrg lambat yg ambil nunggu mnt titik lokasi padaha driver dekat,negatif
payah driver salah jalur g bs cancel sdh dr lokasi g bs telfon ato suspend,negatif
susah dapet driver gofood bikin males udah tau laper susah banget dapet driver nya,negatif
tuju smoties manggonya enak,positif
apk gojek emang dabessttt,positif
terima boking,negatif
mantap,positif
gojek ga klo stiap hujan sen nya bngt gilir udh dpet driver nya suka cancel kali kali sesal tranportasi yg,negatif
promonya mantap,positif
puas pakai gojek driver nya ramah cekat,positif
muas layan nya,positif
ok,positif
istimewa,positif
aplikasi bawa bencana buang,negatif
ok,positif
good,positif
woke,positif
salah transaksi nomor udah gk aktif pulih akun gak notif email nomor udh daftar,negatif
gojek bantu alat transportasi,positif
sangaaat bantu,positif
kesel ama notifnya ganggu bikin handphone ngeframe,negatif
driver,negatif
tolong kalo kasih antar jauh,negatif
baguss mudah orang mager,positif
oke banget,positif
gegara banyak driver gojek nyari driver ampun lokasi drivernya konfirm nunggunya alih grab cepat efisien moga depa batal estimasi akurat aja,netral
aga ngeselin yah duatiga kali sen gojek dapetnya orang deket sekitar makan,positif
bintang yg kasih transaksi kadang hasil paksa driver minim sopan santun,negatif
metode bayar batas contoh kaya bayar via link ajh suka ngga mls trpaksa pindh grab yg bayak metode pembayarn,negatif
bangus,positif
trimakasih gojek,positif
bantu,positif
bagus nyaman,positif
apk kntl dpt driver gojek kntl,negatif
makan nya cepatt bangat,positif
mmaaf gugup min banyakin promo nya yaaa hehehe,positif
salut map nya presisi bngetgk kaya aplikasi belah ngaco,positif
driver gofood,negatif
tingkat layan,positif
gilaaplikasi inicustomer bayar masuk driver rb rupiahrakusparah parah,negatif
aplikasi gojek batu terimaksih,positif
gojek is the best,positif
beli paket gojek plus buka murah mahal diskon rb rb gimana si aneh oren aja vip dkskonya nyata tuh,negatif
wkt pesan lokasi yg dg gocar nongkrong tdk jarang dpt mbl nya dr lokasi yg lbh lbh,positif
cancel nunggu jam ujung g dpt driver dah cuaca lg bagus,negatif
good,positif
bagus,positif
gud apps,positif
the best,positif
bagus,positif
mantap,positif
buruk,negatif
mantap,positif
selamat pagi admin gojek langgan ojol tolong banyak promo mulu kasihan mitra driver aplikasi cari rezeki gara banyak promonya mulu nihh mohon info terima kasih,negatif
top,positif
bantu,positif
bantu aktifitaspelayanan ramah,positif
maanntap,positif
harga nya mahal jalan k,positif
udah pilih lokasi jemput tuju pindah bentar aplikasi langsung hilang lokasi nya aplikasi lemah,negatif
good job,positif
hujan sekali drivernya jauh aktivitas indah bintang,positif
mantap hemat simpletoppp,positif
kecewaaaaa hujan reda jam hujan nya jg deras tp menit cari driver driver mana kalo demonstrasi cepat gerak nya gilir gerimis driver hilang tel bumi keccceeewwwwaaaaa,negatif
aplikasi buruk gak tahun dpt bintang bagus akun masalah gak gilir hapus akun sulit,negatif
aneh banget akun tibatiba beku bom pakai ngerugiin orang,negatif
bagus,positif
hujan gaada,negatif
kali nyampe ojolnya,negatif
aman cepat waktuok,positif
cinta gojek gojek mana aja gojek udha gak kadang nunggu lamagak mas nama pakai gojek hemat jarak harga mahal,netral
terimakasih bantu peruan,positif
bantu jalan kemna aj,positif
ok,positif
oke,positif
terimakasih ojol semangat cari cuan ya,positif
terkadang aplikasi gojek mahal tarif nya d ambil order d cancel,negatif
jos,positif
tolong kasih peluang maka gopay later gopay pinjam,positif
helpfull,positif
ngantar ramah,positif
kasihan drivernya mbayar ongkirnya sesuai aplikasi custamer yg terima driver sesuai alias sadis banget potong motong biaya biaya lainnyatinggal kali aja perdriver kayak dpr aja banyak tunjang masihhh aja tunjang,negatif
oke mantap,positif
kecewa gw gak ojek onlinegw nemu driver narik ko mabukapa atur yg tetap apkperusahaan nganterin tuju yg costumer tuju nganterin akhirat,negatif
mantap,positif
sdh gojek nilai nya blm,netral
ramah sikap deriver,positif
ok,positif
sen cod pizza harga udah engga mah top up gopay kalo udah malem eror tolong baik ya,negatif
sgat muas,positif
beli aplikasi duscord tpi riwayat beli fan saldo potong kali,netral
trlu potong persen drivernya ya kasi wadah nyaman cari nafkah luar,positif
mudah bgt,positif
nais,positif
oke smua,positif
alhamdulillah amanah,positif
ok,positif
keren,positif
bantu poko,positif
guna gojek ketemu driver gojek masalah emosi sopan bilang rating customer jelek rating bintang driver gojek sampai sopan pakai aplikasi terima kasih,negatif
delivery service nya ok banget,positif
tolong yaa kalo emng telat ydh telat aja gausah bikin stak ngga jalan gitu yg untung lu gue rugi udh banget kaya gin beda pilih pengirimin tll,negatif
mantap,positif
pakai gojek kali kecewa driver nakal yg tagih uang parkir masuk area turun pinggir jalan sdh lapor tdk tanggap gojek bela mitra driver nama peras bukti ticket parkir driver tdk aplikasi beku tdk pelayanankalian cari rezeki yg halal peras langgan hapus aplikasi kecewa,negatif
mudah murah,positif
tuhan yesus kati,positif
driver ramah,positif
mudah mempergunakannyapengatarannya cepatpilihan menu,positif
aww,positif
bagus,positif
bantu,positif
ok bngt,positif
kecewa sakit hati pakai gojek driver kasarjudespemarah tolong baik kualitas driver kerja gojek sok sombong kasar ramah nya langgan kecewa berat sen makan driver kasarlebih pakai aplikasi maxim drivernya kecewa berat,negatif
gojek bener lu ye pakai loo nya bom konfirmasi nge klik pesan banget,negatif
gojek km keren titk jmput sesuai gk bnyk kndala plus bnyk promo mksih,positif
semalem coba pesan go fod dpt driver skrng pesan go fod tdk dpr driver sebal,negatif
promonyaharga jangkau tingkat kualitas,positif
kacau sistem nya driver males ambil order,negatif
kesini nggak posisi driver ngasihnya yg jarak gak ngotak menit dna ulah ya gak hujan ngasih driver yg gak kapok kasih bintang,negatif
manfaat,positif
batal aja susah,negatif
bagus,positif
okay,positif
ok,positif
gasuka updatenya gabisa lihat harga diskon gopay cukup malas isi gopay milih ngisi app krn mengirangira harga banyak butuh,negatif
bantu kaum mager,positif
mudah jln mana aja,positif
tolong,negatif
aneh aplikasi y gampang banget hack dh masukin ganti email y yg kait ma gojekmeningan indri aman data gojek rentan hack,negatif
ok sih,positif
harga masuk akal mahal promo jarak lokasi tuju beda apk belah,netral
bug lokasi akurat akses izin lokasi akurat presisi lenceng lokasi device,netral
mana gak ribettinggal gojekin ajasemoga depan sukses,positif
mantap,positif
mudah mudah guna,positif
all good,positif
bantu,positif
driver ramah cepat respon,positif
kirim cepat,positif
mantap,positif
mantap,positif
gaskeun,positif
mantap,positif
mantap,positif
keren,positif
good service,positif
parah gopay pinjam cm pinjam rb darurat cair ari xjam batal butuh cair jatuh tempo ditelp tagih takut banget gak bayar pinjam uang,negatif
mantap bagus,positif
susah banget dapet driver gofood nya nunggu sampe jam,negatif
aplikasi bantu bgt mana,positif
kaga apknya sen udah k kecewa,negatif
keren sii murah jg,positif
cepat aplikasi,positif
bantu mudah mana,positif
bantu kendara lg trouble,positif
bagus meng update lokasi buruk,negatif
moga,positif
bantu,positif
gojek proses kembali dana sulit jaman nadiem semenjak pegang cina kacau makan tuh uang haram,negatif
gak tau kesal aplikasi dagang x mesen makan batalin pas antar,netral
mahal ongkos,positif
ok,positif
ga kecewa,positif
driver cancel kaya orang nggak niat kerja,netral
driver daerah ciledug belagu pesan jam gada ambil rumah sakit rumah km bayar pake gopay pantesan driver ngeluh ga syukur,negatif
cari driver lambat bnget harusny sen ku smpe mnt jam mending pake grab cepet,negatif
good,positif
mantap,positif
customer suka order dobel rugi driver dah samperin cancel,negatif
mantap,positif
apk kkntol order gaada driver,negatif
pesan produk ecommerce instant cari driver pesan dipick up cs solusi suruh tunggu,negatif
bagus,positif
gojek,positif
tarif kesini mahal,negatif
bantu bgt akomodasi transportasi orang,positif
puas,positif
bantu,positif
good banyakin promo donk,positif
gabanyak drama si oke best pokok,positif
bikin marah sedih langgan gojek plus bbrp msh promo promo gofood ilang bantu bilang akun masalah klo engga masalah knp dadak promo ilang pdhl cek bs,negatif
aplikasi gojek untung sy lain krn sipat desak sy bantu gojek mudah tinggal hub aja mksh ya gojek maju mantap pokokny,positif
nice pake gojek butuh yg peksibel,positif
bantu,positif
nyaman gercep,positif
parah pakai layan,negatif
batu,positif
aneh banget g login login akun gitu ferivikasi wajah g nali ganti muka kali gue ribet banget cokk masuk akun gojek,negatif
muantabbb polll,positif
bilang ojol jawa naskleng emang gk ambil order gk gk cari makan bal diam aja jawa asu brengsek ongkir gk niat kerja gk sih gw buru buru tau gak,negatif
akun gopaylater blokir aju lapor yg muncul gopaylater kakak masalah sisi,netral
bagus,positif
slma kalo sy gojek mobil layan sikap drivernya ramah,positif
aplikasi yg nyiksa anak bangsa gojek,negatif
bagusalamat,positif
susah cari ojekdrivernya menye menye,negatif
kirim barang cantum nomor terima kirim driver kirim langsung hubung wa alas aplikasi hubung langsung mohon baik,negatif
susah dapet driver,negatif
udah banget pake apk dri blom mahal ampe mahal ak klo pke gojek plus diskon mahalin jd banget gojek plus bs bilang ak make gojek driver,negatif
moga sukses,positif
goodvery thanks you dear,positif
membntu,positif
aplikasi jarah bangke dah x gw giniin gw sen makan harga rb trs topup topup kali cantumin harga lat,negatif
good,positif
mudah,positif
oke,positif
gojek aplikasi gojek bangka,netral
cepat ramah aman,positif
trauma si gojek sbnarnya ga salah ya vlog ngegojek kalo upload ijin cstmernya ijinkan ngga upload enak nya gatau dampak aja kena siapa aja cemar nama ga si inti kecewa,negatif
gojek aplikasi buruk masak edit alamat ndak driver bain rumah yg beda alamat cari untung aja tp abai guna,positif
drivernya,positif
ok,positif
bantu,positif
keren banget driver nya ramah,positif
slalu,positif
ler dah gw masukin kode otp sesuai yg kirim sms knp ttp salah ajg,negatif
terimakasih gojek,positif
ancorpesanan suruh batal susah driver susah rumah makanjelekkkk,negatif
mantap,positif
beli gojek plus ga andelin resto gratis ongkir batas haha kocak program anggota dpr mah,negatif
mantap,positif
playanan ok,positif
terimakasih karna memudahkn nya,positif
bantu yg g motor bocil mager klo suruh beli makan,positif
lumayan layan gored nyamenemukan titik jemput,positif
ok dah pkay gojek,positif
dwonlod,positif
ojol nya ambil pesan malam driver,negatif
good,positif
bantu,positif
mantappp,positif
cepat,positif
susah cari driver,negatif
tolong akun acc daerah kab sukabumi kurang driver,positif
bagusssangat bantu,positif
puas,positif
aplikasi suka erorsering alamat gak tepatdan gak chat gk telpon driver,negatif
mudah jalan,positif
cepat,positif
hapus fitur doble order fitur cancel sulit hindar bom opik order fiktif terkadang langgan mengcancel centang alas jatuh fitnah online driver sebab performa turun dampak driver on bid hari depa sekian trima kashi,positif
mantap,positif
alhamdulilah nyaman,positif
kendara dgn gojek transport mudah jalan goride nya hemat jam pergi kerja,positif
mantap,positif
layan gopaynya bagus gojek cs go foodnya ga muas order kirim foto versi kasih tutup komplain info foto yg dimintasedangkan seller ga hubung ga hubung walo salah kirim fitur chat seller buka kl komplain gojek wajib tingkatin layan cs nya fitur live chat,netral
ongkir nya mahal,negatif
neng banget pake aplikasi sen ojek online motor mobil sen makan aplikasi salut deh gojek,positif
update ribet,negatif
gojek gopay cantum kontak resmi aplikasi susah selesai krn satu informasi kontak aplikasi cari luar whatsapp akun gopay centang biru telusur getcontact koq review orang arah yg aneh kait akun gopay yg whatsapp,negatif
mantap,positif
layan dgn,positif
alhamdulillah gojek mantap,positif
mantab,positif
bagus bangett,positif
harga mahal pindah maxim aja,negatif
tranfer rekening seabank sayalaporannya gagaltapi cek saldo udah potongberkali ngecek ngak ngak masuk ngak gopayhadehhh,negatif
oghey,positif
baik,positif
tunggu jam pesan makan info driver rugi konsumen tunggu tahan lapar makan kirim,negatif
bantu mudah pergi sukses gojek,positif
transaksi go food dicancel tunggu tunggu selesai,negatif
terimakasih,positif
susah cari driver gofood tunggu jam batalin gitu aja,negatif
oke,positif
minim diskon,netral
bantu,positif
rip affan kurniawan,positif
gatauu tb apk delay pesan gocar ngga ngerasa pesan gbs dibatalin,negatif
istimewa membntujossss,positif
mantap,positif
bagusss,positif
aplikasi rusak ga sen notif makan ga dicancel,negatif
bantu banget sihh,positif
ongkos nya,positif
bagus,positif
driver ajar,negatif
